OpenAlex filter: 2446 partition(s) under /home/alex/discovery_hub/data/openalex_snapshot/works
  keep concepts=['C71924100', 'C86803240'] domains=['Health Sciences', 'Life Sciences'] min_score=0.3 require_abstract=True max=none
  [1141/2446] scanned=182,127,215 kept=27,094,331 (19,971/s)
  [1153/2446] scanned=184,023,094 kept=27,395,773 (19,964/s)
  [1164/2446] scanned=186,062,581 kept=27,720,813 (19,958/s)
  [1176/2446] scanned=188,101,077 kept=28,044,751 (19,950/s)
  [1189/2446] scanned=190,141,783 kept=28,370,525 (19,943/s)
  [1199/2446] scanned=192,035,925 kept=28,672,673 (19,936/s)
  [1209/2446] scanned=194,077,103 kept=28,998,291 (19,930/s)
  [1221/2446] scanned=196,261,023 kept=29,345,426 (19,923/s)
  [1231/2446] scanned=198,009,938 kept=29,623,595 (19,919/s)
  [1240/2446] scanned=200,049,217 kept=29,947,748 (19,913/s)
  [1252/2446] scanned=202,088,499 kept=30,271,807 (19,907/s)
  [1262/2446] scanned=204,238,760 kept=30,614,190 (19,901/s)
  [1272/2446] scanned=206,023,242 kept=30,897,827 (19,896/s)
  [1281/2446] scanned=208,026,203 kept=31,216,450 (19,891/s)
  [1291/2446] scanned=210,103,498 kept=31,546,861 (19,886/s)
  [1302/2446] scanned=212,251,350 kept=31,888,504 (19,880/s)
  [1313/2446] scanned=214,183,480 kept=32,196,017 (19,875/s)
  [1323/2446] scanned=216,038,897 kept=32,492,205 (19,871/s)
  [1333/2446] scanned=218,077,811 kept=32,817,806 (19,865/s)
  [1342/2446] scanned=220,006,902 kept=33,122,179 (19,861/s)
  [1353/2446] scanned=222,046,203 kept=33,446,393 (19,856/s)
  [1365/2446] scanned=224,230,296 kept=33,792,900 (19,851/s)
  [1377/2446] scanned=226,122,691 kept=34,093,141 (19,847/s)
  [1387/2446] scanned=228,014,620 kept=34,394,036 (19,843/s)
  [1396/2446] scanned=230,055,487 kept=34,719,842 (19,838/s)
  [1405/2446] scanned=232,094,905 kept=35,044,066 (19,833/s)
  [1417/2446] scanned=234,135,075 kept=35,368,516 (19,828/s)
  [1426/2446] scanned=236,032,691 kept=35,670,744 (19,824/s)
  [1435/2446] scanned=238,070,520 kept=35,994,763 (19,821/s)
  [1446/2446] scanned=240,110,282 kept=36,319,154 (19,817/s)
  [1456/2446] scanned=242,005,738 kept=36,620,364 (19,813/s)
  [1467/2446] scanned=244,046,597 kept=36,944,759 (19,809/s)
  [1478/2446] scanned=246,087,990 kept=37,269,897 (19,805/s)
  [1489/2446] scanned=248,128,991 kept=37,594,508 (19,801/s)
  [1500/2446] scanned=250,024,796 kept=37,896,533 (19,798/s)
  [1514/2446] scanned=252,114,536 kept=38,121,297 (19,827/s)
  [1525/2446] scanned=254,113,118 kept=38,215,852 (19,899/s)
  [1537/2446] scanned=256,216,493 kept=38,296,517 (19,974/s)
  [1544/2446] scanned=258,295,285 kept=38,325,704 (20,058/s)
  [1557/2446] scanned=260,174,040 kept=38,493,839 (20,081/s)
  [1564/2446] scanned=262,021,135 kept=38,660,271 (20,099/s)
  [1570/2446] scanned=264,005,113 kept=38,877,553 (20,106/s)
  [1585/2446] scanned=266,221,265 kept=39,262,186 (20,058/s)
  [1592/2446] scanned=268,358,680 kept=39,594,512 (20,024/s)
  [1597/2446] scanned=270,253,457 kept=40,299,319 (19,783/s)
  [1602/2446] scanned=272,145,672 kept=41,003,703 (19,551/s)
  [1607/2446] scanned=274,039,945 kept=41,709,442 (19,327/s)
  [1613/2446] scanned=276,314,603 kept=42,556,333 (19,069/s)
  [1618/2446] scanned=278,015,364 kept=43,093,729 (18,931/s)
  [1633/2446] scanned=280,396,852 kept=43,440,111 (18,905/s)
  [1640/2446] scanned=282,135,285 kept=43,578,710 (18,926/s)
  [1650/2446] scanned=284,192,418 kept=43,787,346 (18,952/s)
  [1657/2446] scanned=286,152,291 kept=44,000,549 (18,969/s)
  [1664/2446] scanned=288,114,653 kept=44,214,739 (18,987/s)
  [1671/2446] scanned=290,071,523 kept=44,427,462 (19,004/s)
  [1678/2446] scanned=292,029,751 kept=44,641,728 (19,021/s)
  [1686/2446] scanned=294,269,790 kept=44,885,530 (19,040/s)
  [1692/2446] scanned=296,065,991 kept=45,079,340 (19,056/s)
  [1699/2446] scanned=298,024,942 kept=45,297,043 (19,071/s)
